empresa,Compra,Venta,Fecha de extracción
Western Union,3.684,3.710,2025-02-23 11:20
CambiaFX,3.673,3.701,2025-02-23 11:20
Dichikash,3.679,3.705,2025-02-23 11:20
Okane,3.660,3.720,2025-02-23 11:20
cambiosol,3.685,3.700,2025-02-23 11:20
Dolarex,3.682,3.696,2025-02-23 11:20
Yanki,3.670,3.700,2025-02-23 11:20
vip capital,0.000,0.000,2025-02-23 11:20
Cambio Mundial,3.680,3.700,2025-02-23 11:20
Dollar House,3.683,3.691,2025-02-23 11:20
Money House,3.690,3.699,2025-02-23 11:20
Instakash,3.682,3.700,2025-02-23 11:20
DLS Money,3.670,3.710,2025-02-23 11:20
Cambio Mas,0.000,0.000,2025-02-23 11:20
Tu Cambista,3.679,3.696,2025-02-23 11:20
kambio.online,3.660,3.720,2025-02-23 11:20
Rextie ,3.676,3.709,2025-02-23 11:20
chapacambio,3.677,3.697,2025-02-23 11:20
inka money,3.689,3.715,2025-02-23 11:20
Perú dolar,3.660,3.690,2025-02-23 11:20
Cambio Digital,3.682,3.720,2025-02-23 11:20
sr Cambio,3.670,3.700,2025-02-23 11:20
Hir Power,3.670,3.700,2025-02-23 11:20
