empresa,Compra,Venta,Fecha de extracción
Western Union,3.684,3.710,2025-02-23 11:21
CambiaFX,3.673,3.701,2025-02-23 11:21
Dichikash,3.679,3.705,2025-02-23 11:21
Okane,3.660,3.720,2025-02-23 11:21
cambiosol,3.685,3.700,2025-02-23 11:21
Dolarex,3.682,3.696,2025-02-23 11:21
Yanki,3.670,3.700,2025-02-23 11:21
vip capital,0.000,0.000,2025-02-23 11:21
Cambio Mundial,3.680,3.700,2025-02-23 11:21
Dollar House,3.683,3.691,2025-02-23 11:21
Money House,3.690,3.699,2025-02-23 11:21
Instakash,3.682,3.700,2025-02-23 11:21
DLS Money,3.670,3.710,2025-02-23 11:21
Cambio Mas,0.000,0.000,2025-02-23 11:21
Tu Cambista,3.679,3.696,2025-02-23 11:21
kambio.online,3.660,3.720,2025-02-23 11:21
Rextie ,3.676,3.709,2025-02-23 11:21
chapacambio,3.677,3.697,2025-02-23 11:21
inka money,3.689,3.715,2025-02-23 11:21
Perú dolar,3.660,3.690,2025-02-23 11:21
Cambio Digital,3.682,3.720,2025-02-23 11:21
sr Cambio,3.670,3.700,2025-02-23 11:21
Hir Power,3.670,3.700,2025-02-23 11:21
